INDEX	Jheel	Jtoe	Jside	CourtyardExcess	CourtyardRoundOff
L50M	-0.02	+0.06	-0.02	+0.20	0.01
L50N	-0.03	+0.05	-0.03	+0.15	0.01
L50L	-0.04	+0.04	-0.04	+0.10	0.01
L75M	-0.01	+0.12	-0.01	+0.20	0.01
L75N	-0.02	+0.10	-0.02	+0.15	0.01
L75L	-0.03	+0.08	-0.03	+0.10	0.01
L130M	+0.00	+0.25	+0.00	+0.20	0.01
L130N	-0.01	+0.20	-0.01	+0.15	0.01
L130L	-0.02	+0.15	-0.02	+0.10	0.01
L285M	+0.00	+0.40	+0.05	+0.40	0.01
L285N	+0.00	+0.30	+0.00	+0.20	0.01
L285L	+0.00	+0.20	-0.05	+0.10	0.01
L385M	+0.00	+0.45	+0.05	+0.40	0.01
L385N	+0.00	+0.35	+0.00	+0.20	0.01
L385L	+0.00	+0.25	-0.05	+0.10	0.01
L475M	+0.00	+0.50	+0.05	+0.40	0.01
L475N	+0.00	+0.40	+0.00	+0.20	0.01
L475L	+0.00	+0.30	-0.05	+0.10	0.01
LMAXM	+0.00	+0.60	+0.05	+0.40	0.01
LMAXN	+0.00	+0.50	+0.00	+0.20	0.01
LMAXL	+0.00	+0.40	-0.05	+0.10	0.01
