INDEX	Jheel	Jtoe	Jside	CourtyardExcess	CourtyardRoundOff
H120M	+0.50	+0.05	+0.05	+0.40	0.01
H120N	+0.40	-0.00	-0.00	+0.20	0.01
H120L	+0.30	-0.05	-0.05	+0.12	0.01
H220M	+0.55	+0.10	+0.05	+0.40	0.01
H220N	+0.45	+0.05	-0.00	+0.20	0.01
H220L	+0.35	+0.00	-0.05	+0.12	0.01
H320M	+0.60	+0.15	+0.05	+0.40	0.01
H320N	+0.50	+0.10	-0.00	+0.20	0.01
H320L	+0.40	+0.05	-0.05	+0.10	0.01
H420M	+0.65	+0.20	+0.05	+0.40	0.01
H420N	+0.55	+0.15	-0.00	+0.20	0.01
H420L	+0.45	+0.10	-0.05	+0.10	0.01
HMAXM	+0.70	+0.25	+0.05	+0.40	0.01
HMAXN	+0.60	+0.20	-0.00	+0.20	0.01
HMAXL	+0.50	+0.15	-0.05	+0.10	0.01
