INDEX	Jheel	Jtoe	Jside	CourtyardExcess	CourtyardRoundOff
P40M	+0.30	+0.20	-0.01	+0.40	0.01
P40N	+0.25	+0.15	-0.02	+0.20	0.01
P40L	+0.20	+0.10	-0.03	+0.10	0.01
P50M	+0.30	+0.20	-0.00	+0.40	0.01
P50N	+0.25	+0.15	-0.01	+0.20	0.01
P50L	+0.20	+0.10	-0.02	+0.10	0.01
P65M	+0.35	+0.25	+0.03	+0.40	0.01
P65N	+0.30	+0.20	+0.02	+0.20	0.01
P65L	+0.25	+0.15	+0.01	+0.10	0.01
P80M	+0.40	+0.30	+0.05	+0.40	0.01
P80N	+0.35	+0.25	+0.04	+0.20	0.01
P80L	+0.30	+0.20	+0.03	+0.10	0.01
P100M	+0.45	+0.35	+0.06	+0.40	0.01
P100N	+0.40	+0.30	+0.05	+0.20	0.01
P100L	+0.35	+0.25	+0.04	+0.10	0.01
PMAXM	+0.50	+0.40	+0.07	+0.40	0.01
PMAXN	+0.45	+0.35	+0.06	+0.20	0.01
PMAXL	+0.40	+0.30	+0.05	+0.10	0.01
