INDEX	Jheel	Jtoe	Jside	CourtyardExcess	CourtyardRoundOff
P40M	+0.20	+0.20	-0.02	+0.40	0.01
P40N	+0.15	+0.15	-0.02	+0.20	0.01
P40L	+0.10	+0.10	-0.04	+0.10	0.01
P50M	+0.20	+0.25	-0.00	+0.40	0.01
P50N	+0.15	+0.30	-0.01	+0.20	0.01
P50L	+0.10	+0.15	-0.03	+0.10	0.01
P65M	+0.20	+0.30	+0.02	+0.40	0.01
P65N	+0.15	+0.25	+0.02	+0.20	0.01
P65L	+0.10	+0.20	+0.00	+0.10	0.01
P95M	+0.20	+0.35	+0.04	+0.40	0.01
P95N	+0.15	+0.30	+0.04	+0.20	0.01
P95L	+0.10	+0.25	+0.03	+0.10	0.01
P192M	+0.20	+0.40	+0.05	+0.40	0.01
P192N	+0.15	+0.35	+0.05	+0.20	0.01
P192L	+0.10	+0.30	+0.03	+0.10	0.01
PMAXM	+0.20	+0.45	+0.06	+0.40	0.01
PMAXN	+0.15	+0.40	+0.06	+0.20	0.01
PMAXL	+0.10	+0.35	+0.04	+0.10	0.01
